,Class,Symbol
0,http://emmo.info/emmo/middle/siunits#EMMO_e1981c25_7c55_4020_aa7a_d2e14ced86d4,n
1,http://emmo.info/emmo/middle/siunits#EMMO_5eaecadc_4f0d_4a3a_afc7_1fc0b83cc928,M
2,http://emmo.info/emmo/middle/siunits#EMMO_068c4e58_2470_4b1c_8454_010dd4906100,p
3,http://emmo.info/emmo/middle/siunits#EMMO_42955b2d_b465_4666_86cc_ea3c2d685753,a
4,http://emmo.info/emmo/middle/siunits#EMMO_1d8b370b_c672_4d0c_964e_eaafcbf2f51f,da
5,http://emmo.info/emmo/middle/siunits#EMMO_b55cd09a_e54d_4eb1_81dd_03c29d1b878e,c
6,http://emmo.info/emmo/middle/siunits#EMMO_5cf9f86c_86f5_40c4_846d_60371f670e0a,E
7,http://emmo.info/emmo/middle/siunits#EMMO_daa9ee97_4c5f_42e5_918c_44d7523e8958,Z
8,http://emmo.info/emmo/middle/siunits#EMMO_f5769206_9257_4b08_bf7b_dad7868c6afc,y
9,http://emmo.info/emmo/middle/siunits#EMMO_21aaefc1_3f86_4208_b7db_a755f31f0f8c,h
10,http://emmo.info/emmo/middle/siunits#EMMO_254472c6_3dbd_4f02_bc43_571389cd281f,z
11,http://emmo.info/emmo/middle/siunits#EMMO_9ff3bf8e_2168_406e_8251_1d158fc948ae,Âµ
12,http://emmo.info/emmo/middle/siunits#EMMO_e79c62ff_10ad_4ec0_baba_c19ddd4eaa11,Y
13,http://emmo.info/emmo/middle/siunits#EMMO_43a6b269_da31_4bb6_a537_c97df4fff32a,P
14,http://emmo.info/emmo/middle/siunits#EMMO_a8eb4bbb_1bd3_4ad4_b114_2789bcbd2134,G
15,http://emmo.info/emmo/middle/siunits#EMMO_a3a701ed_6f7d_4a10_9aee_dfa1961fc7b7,m
16,http://emmo.info/emmo/middle/siunits#EMMO_1181c938_c8f0_4ad6_bc7a_2bfdc0903d29,d
17,http://emmo.info/emmo/middle/siunits#EMMO_23bfe79a_cade_48f1_9a8c_fd96e6bac8ba,f
18,http://emmo.info/emmo/middle/siunits#EMMO_3a204900_2b33_47d1_b444_815cc4c8cffa,T
19,http://emmo.info/emmo/middle/siunits#EMMO_74931b1b_c133_4e59_9a75_1bf0e1626201,k
